split,model,auc,brier
97,clinical_plus_myeloid,0.8333333333333334,0.20601803927636586
97,clinical_plus_barrier,0.7500000000000001,0.22583492872739816
97,clinical_plus_myeloid_barrier,0.8611111111111112,0.20780736789785725
98,clinical_Mayo_age,0.4722222222222222,0.3084164276884697
98,clinical_plus_myeloid,0.5555555555555556,0.2743802904774337
98,clinical_plus_barrier,0.4444444444444444,0.2922648375539486
98,clinical_plus_myeloid_barrier,0.5277777777777777,0.2914062502999493
99,clinical_Mayo_age,0.75,0.21378843569554465
99,clinical_plus_myeloid,0.8333333333333333,0.18852421667632854
99,clinical_plus_barrier,0.7666666666666666,0.20507873335514876
99,clinical_plus_myeloid_barrier,0.8333333333333333,0.18697542936388556
100,clinical_Mayo_age,0.5428571428571428,0.23973582389769735
100,clinical_plus_myeloid,0.9142857142857143,0.17535666342154485
100,clinical_plus_barrier,0.657142857142857,0.22103684383301206
100,clinical_plus_myeloid_barrier,0.9142857142857143,0.17304253459438446
101,clinical_Mayo_age,0.7142857142857143,0.22670244763095193
101,clinical_plus_myeloid,0.7428571428571429,0.203048105006312
101,clinical_plus_barrier,0.6571428571428571,0.21652616300171798
101,clinical_plus_myeloid_barrier,0.7428571428571429,0.2018113215524628
102,clinical_Mayo_age,0.611111111111111,0.2596279263596687
102,clinical_plus_myeloid,0.6944444444444444,0.21999023668953246
102,clinical_plus_barrier,0.6944444444444445,0.24132120876635724
102,clinical_plus_myeloid_barrier,0.6944444444444444,0.22150385763398361
103,clinical_Mayo_age,0.7222222222222222,0.22741252983859717
103,clinical_plus_myeloid,0.5833333333333334,0.2977123924640667
103,clinical_plus_barrier,0.5,0.26747105683565203
103,clinical_plus_myeloid_barrier,0.5555555555555556,0.3052348094318692
104,clinical_Mayo_age,0.45,0.28145091868376676
104,clinical_plus_myeloid,0.43333333333333335,0.30209859221504504
104,clinical_plus_barrier,0.3333333333333333,0.3137829580176701
104,clinical_plus_myeloid_barrier,0.4666666666666667,0.31388142471968394
105,clinical_Mayo_age,0.5428571428571428,0.2784665144599664
105,clinical_plus_myeloid,0.6285714285714286,0.256656189805695
105,clinical_plus_barrier,0.5714285714285714,0.26691039589906046
105,clinical_plus_myeloid_barrier,0.6,0.25578559171069537
106,clinical_Mayo_age,0.34285714285714286,0.2892229615976142
106,clinical_plus_myeloid,0.6571428571428571,0.22522160250701717
106,clinical_plus_barrier,0.4285714285714286,0.269906930730464
106,clinical_plus_myeloid_barrier,0.6571428571428571,0.22349008157582603
107,clinical_Mayo_age,0.75,0.22661043629023606
107,clinical_plus_myeloid,0.49999999999999994,0.2838824201512767
107,clinical_plus_barrier,0.5277777777777778,0.27673360093484356
107,clinical_plus_myeloid_barrier,0.5,0.30386654407122304
108,clinical_Mayo_age,0.4722222222222222,0.25354607875921625
108,clinical_plus_myeloid,0.6388888888888891,0.23702322218963479
108,clinical_plus_barrier,0.6111111111111112,0.247929609424712
108,clinical_plus_myeloid_barrier,0.6388888888888888,0.2364880571146624
109,clinical_Mayo_age,0.6,0.2691562251302209
109,clinical_plus_myeloid,0.6,0.23636441295724223
109,clinical_plus_barrier,0.6,0.2552960241651812
